Player,Nation,Pos,Squad,Comp,Age,Min,90s,Gls,Ast,G+A,G-PK,xG,npxG,xAG,PrgC,PrgP,Gls_per90,xG_per90,Finishing_Diff
Michele Di Gregorio,ITA,GK,Monza,it Serie A,26.0,2872,31.9,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Giovanni Di Lorenzo,ITA,DF,Napoli,it Serie A,29.0,3234,35.9,1,6,7,1,3.1,3.1,4.9,95.0,304.0,0.02782931354359926,0.0862708719851577,-2.1
Boulaye Dia,SEN,"FW,MF",Salernitana,it Serie A,26.0,1143,12.7,4,0,4,3,3.9,3.1,0.5,18.0,22.0,0.31496062992125984,0.30708661417322836,0.10000000000000009
Moussa Diaby,FRA,"FW,MF",Aston Villa,eng Premier League,24.0,2174,24.2,6,8,14,6,7.0,7.0,6.6,94.0,72.0,0.24839006439742412,0.28978840846366144,-1.0
Mouctar Diakhaby,GUI,"DF,MF",Valencia,es La Liga,26.0,1073,11.9,1,0,1,1,0.7,0.7,0.0,7.0,29.0,0.08387698042870456,0.05871388630009319,0.30000000000000004
Bafodé Diakité,FRA,DF,Lille,fr Ligue 1,22.0,1696,18.8,5,2,7,5,2.0,2.0,1.4,15.0,95.0,0.2653301886792453,0.1061320754716981,3.0
Oumar Diakité,CIV,FW,Reims,fr Ligue 1,19.0,1585,17.6,5,1,6,5,7.0,6.2,1.3,29.0,28.0,0.28391167192429023,0.3974763406940063,-2.0
Assane Diao,ESP,FW,Betis,es La Liga,17.0,1048,11.6,2,0,2,2,2.5,2.5,0.7,33.0,20.0,0.17175572519083968,0.21469465648854963,-0.5
Habib Diarra,SEN,"MF,FW",Strasbourg,fr Ligue 1,19.0,2305,25.6,3,1,4,2,3.4,2.7,1.3,59.0,107.0,0.11713665943600868,0.13275488069414318,-0.3999999999999999
Moussa Diarra,MLI,DF,Toulouse,fr Ligue 1,22.0,1397,15.5,1,2,3,1,0.5,0.5,1.1,18.0,70.0,0.06442376521116679,0.03221188260558339,0.5
Rúben Dias,POR,DF,Manchester City,eng Premier League,26.0,2559,28.4,0,0,0,0,1.4,1.4,0.3,34.0,173.0,0.0,0.049237983587338795,-1.4
Krépin Diatta,SEN,"DF,FW",Monaco,fr Ligue 1,24.0,1206,13.4,0,2,2,0,0.5,0.5,1.8,48.0,80.0,0.0,0.0373134328358209,-0.5
Mory Diaw,SEN,GK,Clermont Foot,fr Ligue 1,30.0,2700,30.0,0,0,0,0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0
Brahim Díaz,MAR,"FW,MF",Real Madrid,es La Liga,23.0,1545,17.2,8,6,14,8,5.7,5.7,4.4,76.0,75.0,0.46601941747572817,0.3320388349514563,2.3
Luis Díaz,COL,FW,Liverpool,eng Premier League,26.0,2629,29.2,8,5,13,8,11.9,11.9,5.7,137.0,113.0,0.27386839102320276,0.4073792316470141,-3.9000000000000004
Bamba Dieng,SEN,FW,Lorient,fr Ligue 1,23.0,549,6.1,4,1,5,4,3.2,3.2,1.6,5.0,4.0,0.6557377049180327,0.5245901639344263,0.7999999999999998
Eric Dier,ENG,DF,Bayern Munich,de Bundesliga,29.0,1166,13.0,0,0,0,0,0.7,0.7,0.1,8.0,53.0,0.0,0.05403087478559176,-0.7
Lucas Digne,FRA,DF,Aston Villa,eng Premier League,30.0,2410,26.8,1,3,4,1,1.1,1.1,4.1,42.0,77.0,0.03734439834024896,0.04107883817427386,-0.10000000000000009
Federico Dimarco,ITA,DF,Inter,it Serie A,25.0,2077,23.1,5,6,11,5,2.9,2.7,8.5,51.0,100.0,0.21665864227250844,0.1256620125180549,2.1
Stole Dimitrievski,MKD,GK,Rayo Vallecano,es La Liga,29.0,3330,37.0,0,0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Junior Dina Ebimbe,FRA,"MF,DF",Eint Frankfurt,de Bundesliga,22.0,1956,21.7,5,3,8,5,5.0,5.0,2.9,57.0,79.0,0.23006134969325154,0.23006134969325154,0.0
Eren Dinkçi,GER,"FW,MF",Heidenheim,de Bundesliga,21.0,2650,29.4,10,5,15,10,4.3,4.3,3.7,85.0,89.0,0.33962264150943394,0.1460377358490566,5.7
Sinaly Diomande,CIV,DF,Lyon,fr Ligue 1,22.0,889,9.9,0,0,0,0,1.0,1.0,0.7,5.0,43.0,0.0,0.10123734533183353,-1.0
Issa Diop,FRA,DF,Fulham,eng Premier League,26.0,1424,15.8,0,0,0,0,0.3,0.3,0.0,11.0,66.0,0.0,0.018960674157303372,-0.3
Sofiane Diop,FRA,FW,Nice,fr Ligue 1,23.0,499,5.5,0,0,0,0,1.2,1.2,0.8,20.0,17.0,0.0,0.21643286573146292,-1.2
Andy Diouf,FRA,MF,Lens,fr Ligue 1,20.0,1314,14.6,1,0,1,1,1.5,1.5,1.1,63.0,80.0,0.0684931506849315,0.10273972602739725,-0.5
Yehvann Diouf,FRA,GK,Reims,fr Ligue 1,23.0,3060,34.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Axel Disasi,FRA,DF,Chelsea,eng Premier League,25.0,2579,28.7,2,0,2,2,2.4,2.4,0.3,30.0,112.0,0.06979449398991858,0.08375339278790228,-0.3999999999999999
Djené,TOG,"DF,MF",Getafe,es La Liga,31.0,2484,27.6,0,0,0,0,0.1,0.1,0.3,13.0,98.0,0.0,0.0036231884057971015,-0.1
Koffi Djidji,CIV,DF,Torino,it Serie A,30.0,759,8.4,0,0,0,0,0.1,0.1,0.0,4.0,19.0,0.0,0.011857707509881424,-0.1
Berat Djimsiti,ALB,DF,Atalanta,it Serie A,30.0,2832,31.5,0,1,1,0,0.8,0.8,0.7,6.0,79.0,0.0,0.025423728813559324,-0.8
Marko Dmitrović,SRB,GK,Sevilla,es La Liga,31.0,1170,13.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ritsu Doan,JPN,"DF,MF",Freiburg,de Bundesliga,25.0,2246,25.0,7,2,9,7,5.0,5.0,3.1,49.0,78.0,0.2804986642920748,0.20035618878005343,2.0
Dodô,BRA,DF,Fiorentina,it Serie A,24.0,523,5.8,0,0,0,0,0.1,0.1,0.8,20.0,39.0,0.0,0.017208413001912046,-0.1
Danilho Doekhi,NED,DF,Union Berlin,de Bundesliga,25.0,2160,24.0,2,0,2,2,1.2,1.2,0.2,7.0,65.0,0.08333333333333334,0.05,0.8
Matt Doherty,IRL,"DF,MF",Wolves,eng Premier League,31.0,1150,12.8,1,0,1,1,0.8,0.8,1.3,12.0,31.0,0.0782608695652174,0.06260869565217392,0.19999999999999996
Josh Doig,SCO,DF,Hellas Verona,it Serie A,21.0,830,9.2,0,0,0,0,0.2,0.2,0.3,23.0,15.0,0.0,0.021686746987951807,-0.2
Josh Doig,SCO,DF,Sassuolo,it Serie A,21.0,1343,14.9,0,2,2,0,0.2,0.2,1.1,30.0,33.0,0.0,0.013402829486224871,-0.2
Jeremy Doku,BEL,"FW,MF",Manchester City,eng Premier League,21.0,1595,17.7,3,8,11,3,2.5,2.5,4.6,218.0,57.0,0.16927899686520376,0.14106583072100312,0.5
Carlos Dominguez,ESP,DF,Celta Vigo,es La Liga,22.0,1584,17.6,0,0,0,0,0.3,0.3,0.1,11.0,63.0,0.0,0.017045454545454544,-0.3
Nicolás Domínguez,ARG,"MF,FW",Nott'ham Forest,eng Premier League,25.0,1495,16.6,2,2,4,2,1.3,1.3,1.0,14.0,91.0,0.12040133779264213,0.0782608695652174,0.7
Gianluigi Donnarumma,ITA,GK,Paris S-G,fr Ligue 1,24.0,2169,24.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Dorgu,DEN,"DF,MF",Lecce,it Serie A,18.0,1564,17.4,2,0,2,2,2.0,2.0,1.6,37.0,49.0,0.11508951406649617,0.11508951406649617,0.0
Niklas Dorsch,GER,MF,Augsburg,de Bundesliga,25.0,1386,15.4,0,0,0,0,0.7,0.7,0.1,12.0,47.0,0.0,0.045454545454545456,-0.7
Alberto Dossena,ITA,DF,Cagliari,it Serie A,24.0,2977,33.1,2,4,6,2,2.2,2.2,2.1,9.0,89.0,0.06046355391333557,0.06650990930466913,-0.20000000000000018
Carlos Dotor,ESP,MF,Celta Vigo,es La Liga,22.0,708,7.9,0,0,0,0,0.2,0.2,0.1,3.0,30.0,0.0,0.025423728813559324,-0.2
Abdoulaye Doucouré,MLI,"FW,MF",Everton,eng Premier League,30.0,2629,29.2,7,1,8,7,8.8,8.8,2.9,55.0,97.0,0.23963484214530237,0.301255230125523,-1.8000000000000007
Cheick Doucouré,MLI,MF,Crystal Palace,eng Premier League,23.0,919,10.2,0,0,0,0,0.3,0.3,0.7,9.0,49.0,0.0,0.029379760609357996,-0.3
Désiré Doué,FRA,"MF,FW",Rennes,fr Ligue 1,18.0,1626,18.1,4,4,8,4,2.4,2.4,3.7,78.0,121.0,0.22140221402214022,0.13284132841328414,1.6
Guela Doué,CIV,DF,Rennes,fr Ligue 1,20.0,1234,13.7,0,2,2,0,0.5,0.5,1.1,41.0,53.0,0.0,0.03646677471636953,-0.5
Alfie Doughty,ENG,DF,Luton Town,eng Premier League,23.0,2925,32.5,2,8,10,2,1.3,1.3,6.3,94.0,106.0,0.06153846153846154,0.04,0.7
Douglas,BRA,MF,Nantes,fr Ligue 1,26.0,1772,19.7,0,0,0,0,1.2,1.2,1.1,12.0,105.0,0.0,0.06094808126410835,-1.2
Ismaël Doukouré,FRA,"MF,DF",Strasbourg,fr Ligue 1,20.0,1656,18.4,0,0,0,0,0.3,0.3,0.2,15.0,80.0,0.0,0.016304347826086956,-0.3
Kamory Doumbia,MLI,MF,Brest,fr Ligue 1,20.0,879,9.8,6,5,11,6,4.2,4.2,0.9,22.0,48.0,0.6143344709897611,0.43003412969283283,1.7999999999999998
Anastasios Douvikas,GRE,FW,Celta Vigo,es La Liga,23.0,905,10.1,7,1,8,7,4.6,4.6,1.3,10.0,13.0,0.6961325966850829,0.4574585635359116,2.4000000000000004
Artem Dovbyk,UKR,FW,Girona,es La Liga,26.0,2587,28.7,24,8,32,17,24.2,17.9,6.2,18.0,26.0,0.83494395052184,0.8419018167761886,-0.1999999999999993
Nikola Dovedan,AUT,"MF,FW",Heidenheim,de Bundesliga,29.0,656,7.3,3,1,4,3,1.9,1.9,0.6,12.0,22.0,0.4115853658536585,0.2606707317073171,1.1
Tommy Doyle,ENG,MF,Wolves,eng Premier League,21.0,1222,13.6,0,0,0,0,0.4,0.4,0.4,21.0,81.0,0.0,0.029459901800327336,-0.4
Radu Drăgușin,ROU,DF,Genoa,it Serie A,21.0,1710,19.0,2,1,3,2,1.0,1.0,0.8,6.0,29.0,0.10526315789473685,0.052631578947368425,1.0
Dion Drena Beljo,CRO,"FW,MF",Augsburg,de Bundesliga,21.0,581,6.5,2,0,2,2,3.0,3.0,0.5,16.0,20.0,0.3098106712564544,0.4647160068846816,-1.0
Tim Drexler,GER,DF,Hoffenheim,de Bundesliga,18.0,573,6.4,0,0,0,0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0
Domingos Duarte,POR,DF,Getafe,es La Liga,28.0,907,10.1,0,0,0,0,0.3,0.3,0.1,7.0,47.0,0.0,0.02976846747519294,-0.3
Rubén Duarte,ESP,DF,Alavés,es La Liga,27.0,1878,20.9,2,1,3,2,0.7,0.7,1.5,16.0,81.0,0.09584664536741215,0.03354632587859425,1.3
Martin Dúbravka,SVK,GK,Newcastle Utd,eng Premier League,34.0,1985,22.1,0,0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Marvin Ducksch,GER,FW,Werder Bremen,de Bundesliga,29.0,2696,30.0,12,9,21,7,12.8,7.9,7.8,17.0,88.0,0.40059347181008903,0.427299703264095,-0.8000000000000007
Ondrej Duda,SVK,MF,Hellas Verona,it Serie A,28.0,2456,27.3,1,4,5,1,2.2,1.4,3.3,34.0,117.0,0.03664495114006515,0.08061889250814333,-1.2000000000000002
Denzel Dumfries,NED,DF,Inter,it Serie A,27.0,1639,18.2,4,4,8,4,2.3,2.3,4.9,50.0,51.0,0.21964612568639413,0.12629652226967664,1.7000000000000002
Alfred Duncan,GHA,MF,Fiorentina,it Serie A,30.0,1888,21.0,2,5,7,2,1.5,1.5,2.0,23.0,133.0,0.09533898305084745,0.0715042372881356,0.5
Lewis Dunk,ENG,DF,Brighton,eng Premier League,31.0,2869,31.9,3,1,4,3,3.1,3.1,0.9,33.0,152.0,0.09410944579993029,0.09724642732659464,-0.10000000000000009
Jhon Durán,COL,"FW,MF",Aston Villa,eng Premier League,19.0,475,5.3,5,0,5,5,2.0,2.0,0.3,9.0,9.0,0.9473684210526315,0.37894736842105264,3.0
Hugo Duro,ESP,FW,Valencia,es La Liga,23.0,2976,33.1,13,2,15,13,11.5,11.5,1.3,27.0,34.0,0.39314516129032256,0.3477822580645161,1.5
Jean-Kevin Duverne,HAI,DF,Nantes,fr Ligue 1,26.0,1348,15.0,0,0,0,0,0.3,0.3,0.2,18.0,64.0,0.0,0.02002967359050445,-0.3
Paulo Dybala,ARG,"FW,MF",Roma,it Serie A,29.0,1959,21.8,13,9,22,6,10.6,5.1,4.3,79.0,122.0,0.5972434915773354,0.4869831546707504,2.4000000000000004
Aron Dønnum,NOR,"FW,MF",Toulouse,fr Ligue 1,25.0,1595,17.7,0,1,1,0,1.0,1.0,2.1,69.0,66.0,0.0,0.05642633228840126,-1.0
Festy Ebosele,IRL,DF,Udinese,it Serie A,20.0,1700,18.9,0,0,0,0,0.8,0.8,1.8,67.0,35.0,0.0,0.042352941176470586,-0.8
Tyronne Ebuehi,NGA,DF,Empoli,it Serie A,27.0,1099,12.2,0,1,1,0,0.3,0.3,0.9,34.0,37.0,0.0,0.02456778889899909,-0.3
Ederson,BRA,GK,Manchester City,eng Premier League,29.0,2785,30.9,0,0,0,0,0.0,0.0,0.1,0.0,4.0,0.0,0.0,0.0
Éderson,BRA,MF,Atalanta,it Serie A,24.0,2869,31.9,6,1,7,6,3.5,3.5,1.4,32.0,214.0,0.18821889159986058,0.10979435343325201,2.5
Odsonne Édouard,FRA,"FW,MF",Crystal Palace,eng Premier League,25.0,1555,17.3,7,0,7,7,6.2,6.2,1.2,33.0,36.0,0.40514469453376206,0.35884244372990354,0.7999999999999998
John Egan,IRL,DF,Sheffield Utd,eng Premier League,30.0,482,5.4,0,0,0,0,0.2,0.2,0.0,0.0,5.0,0.0,0.03734439834024897,-0.2
Maximilian Eggestein,GER,MF,Freiburg,de Bundesliga,26.0,2914,32.4,1,2,3,1,2.4,2.4,2.8,42.0,162.0,0.03088538091969801,0.07412491420727522,-1.4
Kingsley Ehizibue,NED,DF,Udinese,it Serie A,28.0,955,10.6,0,1,1,0,1.3,1.3,0.7,18.0,15.0,0.0,0.12251308900523561,-1.3
Hugo Ekitike,FRA,FW,Eint Frankfurt,de Bundesliga,21.0,716,8.0,4,2,6,4,2.4,2.4,1.7,16.0,9.0,0.5027932960893855,0.3016759776536313,1.6
Caleb Ekuban,GHA,FW,Genoa,it Serie A,29.0,1131,12.6,4,1,5,4,2.9,2.9,1.4,14.0,15.0,0.3183023872679045,0.23076923076923078,1.1
Anthony Elanga,SWE,"FW,MF",Nott'ham Forest,eng Premier League,21.0,2433,27.0,5,9,14,5,6.6,6.6,6.7,98.0,49.0,0.1849568434032059,0.2441430332922318,-1.5999999999999996
Simon Elisor,FRA,FW,Metz,fr Ligue 1,24.0,767,8.5,1,0,1,1,2.3,1.5,0.9,9.0,14.0,0.11734028683181225,0.26988265971316816,-1.2999999999999998
Harvey Elliott,ENG,"MF,FW",Liverpool,eng Premier League,20.0,1352,15.0,3,6,9,3,2.7,2.7,3.5,44.0,128.0,0.1997041420118343,0.17973372781065092,0.2999999999999998
Aritz Elustondo,ESP,DF,Real Sociedad,es La Liga,29.0,812,9.0,0,1,1,0,0.3,0.3,0.6,4.0,31.0,0.0,0.03325123152709359,-0.3
Nico Elvedi,SUI,DF,Gladbach,de Bundesliga,26.0,2482,27.6,2,1,3,2,1.6,1.6,0.1,37.0,109.0,0.072522159548751,0.05801772763900081,0.3999999999999999
Adri Embarba,ESP,"FW,MF",Almería,es La Liga,31.0,2476,27.5,3,2,5,2,4.3,3.5,4.4,94.0,58.0,0.10904684975767366,0.15630048465266558,-1.2999999999999998
Emanuel Emegha,NED,FW,Strasbourg,fr Ligue 1,20.0,2078,23.1,8,1,9,8,10.8,10.0,0.4,24.0,11.0,0.34648700673724736,0.467757459095284,-2.8000000000000007
Emerson,BRA,DF,Tottenham,eng Premier League,24.0,1161,12.9,1,0,1,1,0.2,0.2,0.4,21.0,57.0,0.07751937984496124,0.01550387596899225,0.8
Youssef En-Nesyri,MAR,FW,Sevilla,es La Liga,26.0,2570,28.6,16,2,18,15,10.8,10.0,1.3,17.0,17.0,0.5603112840466926,0.37821011673151755,5.199999999999999
Julio Enciso,PAR,"MF,FW",Brighton,eng Premier League,19.0,475,5.3,0,2,2,0,1.4,1.4,1.7,28.0,21.0,0.0,0.2652631578947368,-1.4
Wataru Endo,JPN,MF,Liverpool,eng Premier League,30.0,1722,19.1,1,0,1,1,0.5,0.5,1.7,10.0,101.0,0.05226480836236934,0.02613240418118467,0.5
Arne Engels,BEL,"MF,DF",Augsburg,de Bundesliga,19.0,1405,15.6,3,2,5,3,1.8,1.8,1.2,23.0,52.0,0.1921708185053381,0.11530249110320286,1.2
Christian Eriksen,DEN,MF,Manchester Utd,eng Premier League,31.0,1141,12.7,1,2,3,1,1.0,1.0,2.3,20.0,68.0,0.07887817703768624,0.07887817703768624,0.0
Martin Erlic,CRO,DF,Sassuolo,it Serie A,25.0,2618,29.1,1,0,1,1,1.0,1.0,0.0,19.0,78.0,0.03437738731856379,0.03437738731856379,0.0
Gonzalo Escalante,ARG,MF,Cádiz,es La Liga,30.0,1697,18.9,1,2,3,1,1.9,1.9,1.7,4.0,66.0,0.05303476723629935,0.10076605774896877,-0.8999999999999999
Alfonso Espino,URU,DF,Rayo Vallecano,es La Liga,31.0,2507,27.9,0,1,1,0,1.0,1.0,2.8,41.0,113.0,0.0,0.035899481451934584,-1.0
Maxime Estève,FRA,DF,Burnley,eng Premier League,21.0,1309,14.5,0,0,0,0,0.3,0.3,0.0,15.0,40.0,0.0,0.020626432391138275,-0.3
Maxime Estève,FRA,DF,Montpellier,fr Ligue 1,21.0,995,11.1,1,1,2,1,0.2,0.2,0.3,8.0,23.0,0.09045226130653267,0.018090452261306532,0.8
Pervis Estupiñán,ECU,DF,Brighton,eng Premier League,25.0,1243,13.8,2,3,5,2,1.0,1.0,3.5,47.0,83.0,0.14481094127111827,0.07240547063555913,1.0
Jonny Evans,NIR,DF,Manchester Utd,eng Premier League,35.0,1392,15.5,0,1,1,0,0.1,0.1,1.2,7.0,37.0,0.0,0.00646551724137931,-0.1
Eberechi Eze,ENG,"MF,FW",Crystal Palace,eng Premier League,25.0,2055,22.8,11,4,15,10,9.1,8.3,5.2,68.0,93.0,0.4817518248175182,0.39854014598540144,1.9000000000000004
Abde Ezzalzouli,MAR,FW,Betis,es La Liga,21.0,865,9.6,1,0,1,1,3.0,2.2,0.3,57.0,25.0,0.10404624277456648,0.31213872832369943,-2.0
Giovanni Fabbian,ITA,"MF,FW",Bologna,it Serie A,20.0,1057,11.7,5,2,7,5,4.2,4.2,1.9,11.0,17.0,0.42573320719016083,0.3576158940397351,0.7999999999999998
Łukasz Fabiański,POL,GK,West Ham,eng Premier League,38.0,721,8.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Romain Faivre,FRA,"MF,FW",Lorient,fr Ligue 1,25.0,1453,16.1,5,1,6,5,2.8,2.8,1.7,68.0,102.0,0.3097040605643496,0.17343427391603577,2.2
Wladimiro Falcone,ITA,GK,Lecce,it Serie A,28.0,3420,38.0,0,0,0,0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0
Fali,ESP,DF,Cádiz,es La Liga,29.0,2547,28.3,0,0,0,0,0.8,0.8,0.1,16.0,82.0,0.0,0.02826855123674912,-0.8
Davide Faraoni,ITA,DF,Hellas Verona,it Serie A,31.0,602,6.7,0,1,1,0,0.4,0.4,0.4,13.0,28.0,0.0,0.059800664451827246,-0.4
Ansu Fati,ESP,"MF,FW",Brighton,eng Premier League,20.0,521,5.8,2,0,2,2,3.4,3.4,0.8,16.0,28.0,0.345489443378119,0.5873320537428023,-1.4
Khalil Fayad,FRA,"FW,MF",Montpellier,fr Ligue 1,19.0,1025,11.4,3,0,3,3,1.9,1.9,0.5,18.0,35.0,0.2634146341463415,0.1668292682926829,1.1
Federico Fazio,ARG,DF,Salernitana,it Serie A,36.0,1355,15.1,1,0,1,1,0.4,0.4,0.1,2.0,27.0,0.06642066420664207,0.026568265682656828,0.6
Jacopo Fazzini,ITA,MF,Empoli,it Serie A,20.0,1232,13.7,1,1,2,1,1.2,1.2,2.3,24.0,47.0,0.07305194805194806,0.08766233766233766,-0.19999999999999996
Peter Federico,DOM,"MF,FW",Valencia,es La Liga,21.0,649,7.2,0,0,0,0,1.7,1.7,1.0,19.0,16.0,0.0,0.2357473035439137,-1.7
Nabil Fekir,FRA,"MF,FW",Betis,es La Liga,30.0,1049,11.7,1,2,3,1,2.2,2.2,2.3,32.0,67.0,0.08579599618684461,0.1887511916110582,-1.2000000000000002
João Félix,POR,FW,Barcelona,es La Liga,23.0,1540,17.1,7,3,10,7,8.7,8.7,3.1,69.0,68.0,0.40909090909090906,0.5084415584415584,-1.6999999999999993
Ohis Felix Uduokhai,GER,DF,Augsburg,de Bundesliga,25.0,2921,32.5,2,0,2,2,1.4,1.4,0.8,25.0,101.0,0.06162273194111605,0.04313591235878124,0.6000000000000001
Kiko Femenía,ESP,DF,Villarreal,es La Liga,32.0,1583,17.6,0,0,0,0,0.0,0.0,0.6,46.0,100.0,0.0,0.0,0.0
Evan Ferguson,IRL,FW,Brighton,eng Premier League,18.0,1367,15.2,6,0,6,6,4.6,4.6,0.5,13.0,15.0,0.3950256035113387,0.30285296269202633,1.4000000000000004
Lewis Ferguson,SCO,MF,Bologna,it Serie A,23.0,2712,30.1,6,3,9,6,5.4,5.4,2.3,57.0,142.0,0.19911504424778761,0.17920353982300885,0.5999999999999996
Bruno Fernandes,POR,"MF,FW",Manchester Utd,eng Premier League,28.0,3118,34.6,10,8,18,6,10.0,6.1,11.8,86.0,297.0,0.28864656831302116,0.28864656831302116,0.0
Edimilson Fernandes,SUI,DF,Mainz 05,de Bundesliga,27.0,1290,14.3,0,2,2,0,0.5,0.5,0.7,9.0,53.0,0.0,0.03488372093023256,-0.5
Aitor Fernández,ESP,GK,Osasuna,es La Liga,32.0,551,6.1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Álex Fernández,ESP,MF,Cádiz,es La Liga,30.0,1285,14.3,0,1,1,0,0.3,0.3,0.8,11.0,52.0,0.0,0.02101167315175097,-0.3
Enzo Fernández,ARG,MF,Chelsea,eng Premier League,22.0,2209,24.5,3,2,5,2,6.2,4.6,3.4,52.0,210.0,0.12222725215029426,0.2526029877772748,-3.2
Valery Fernández,ESP,"MF,FW",Girona,es La Liga,23.0,506,5.6,2,0,2,2,0.7,0.7,0.8,20.0,12.0,0.3557312252964427,0.12450592885375493,1.3
Fernando,BRA,MF,Sevilla,es La Liga,36.0,459,5.1,0,0,0,0,0.0,0.0,0.3,5.0,24.0,0.0,0.0,0.0
André Ferreira,POR,GK,Granada,es La Liga,27.0,1340,14.9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
João Ferreira,POR,DF,Udinese,it Serie A,22.0,1822,20.2,0,1,1,0,0.1,0.1,0.9,19.0,61.0,0.0,0.004939626783754117,-0.1
Jordan Ferri,FRA,MF,Montpellier,fr Ligue 1,31.0,2031,22.6,1,1,2,1,0.6,0.6,1.9,37.0,173.0,0.044313146233382575,0.02658788774002954,0.4
Max Finkgräfe,GER,"DF,FW",Köln,de Bundesliga,19.0,1756,19.5,1,0,1,1,1.0,1.0,1.6,51.0,53.0,0.05125284738041002,0.05125284738041002,0.0
Mark Flekken,NED,GK,Brentford,eng Premier League,30.0,3285,36.5,0,1,1,0,0.0,0.0,0.5,0.0,5.0,0.0,0.0,0.0
Alessandro Florenzi,ITA,DF,Milan,it Serie A,32.0,1732,19.2,1,4,5,1,1.7,1.7,3.4,29.0,106.0,0.05196304849884526,0.08833718244803695,-0.7
Phil Foden,ENG,"FW,MF",Manchester City,eng Premier League,23.0,2857,31.7,19,8,27,19,10.3,10.3,8.4,93.0,168.0,0.5985299264963249,0.3244662233111656,8.7
Wes Foderingham,ENG,GK,Sheffield Utd,eng Premier League,32.0,2649,29.4,0,0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Malick Fofana,BEL,FW,Lyon,fr Ligue 1,18.0,559,6.2,3,0,3,3,1.8,1.8,0.5,26.0,10.0,0.4830053667262969,0.2898032200357782,1.2
Youssouf Fofana,FRA,MF,Monaco,fr Ligue 1,24.0,2697,30.0,4,4,8,4,5.0,5.0,3.4,53.0,249.0,0.13348164627363737,0.16685205784204674,-1.0
Jonas Föhrenbach,GER,DF,Heidenheim,de Bundesliga,27.0,2788,31.0,0,0,0,0,0.5,0.5,0.8,44.0,96.0,0.0,0.016140602582496413,-0.5
Thomas Foket,BEL,DF,Reims,fr Ligue 1,28.0,1833,20.4,0,1,1,0,0.2,0.2,0.9,24.0,65.0,0.0,0.009819967266775777,-0.2
Michael Folorunsho,ITA,"MF,FW",Hellas Verona,it Serie A,25.0,2781,30.9,5,1,6,5,4.0,3.9,1.4,56.0,54.0,0.16181229773462782,0.12944983818770225,1.0
Pablo Fornals,ESP,"FW,MF",Betis,es La Liga,27.0,1148,12.8,3,2,5,3,1.8,1.8,1.6,37.0,89.0,0.23519163763066203,0.14111498257839722,1.2
Emil Forsberg,SWE,"MF,FW",RB Leipzig,de Bundesliga,31.0,464,5.2,2,1,3,2,1.4,0.6,0.9,8.0,22.0,0.3879310344827586,0.27155172413793105,0.6000000000000001
Lyle Foster,RSA,"FW,MF",Burnley,eng Premier League,22.0,1899,21.1,5,3,8,5,4.5,4.5,1.9,55.0,37.0,0.23696682464454977,0.2132701421800948,0.5
Dimitri Foulquier,FRA,"DF,MF",Valencia,es La Liga,30.0,1842,20.5,0,0,0,0,0.6,0.6,1.2,42.0,72.0,0.0,0.02931596091205212,-0.6
Juan Foyth,ARG,DF,Villarreal,es La Liga,25.0,1062,11.8,1,1,2,1,0.4,0.4,0.9,19.0,51.0,0.0847457627118644,0.03389830508474576,0.6
Bartol Franjić,CRO,MF,Darmstadt 98,de Bundesliga,23.0,1229,13.7,0,1,1,0,0.3,0.3,0.2,13.0,50.0,0.0,0.021969080553295363,-0.3
Przemysław Frankowski,POL,DF,Lens,fr Ligue 1,28.0,2192,24.4,3,2,5,2,3.7,2.1,3.8,56.0,112.0,0.12317518248175183,0.15191605839416059,-0.7000000000000002
Davide Frattesi,ITA,MF,Inter,it Serie A,23.0,955,10.6,6,3,9,6,7.1,7.1,1.9,27.0,37.0,0.5654450261780105,0.669109947643979,-1.0999999999999996
Morten Frendrup,DEN,MF,Genoa,it Serie A,22.0,3145,34.9,2,5,7,2,1.7,1.7,1.6,36.0,105.0,0.057233704292527825,0.04864864864864865,0.30000000000000004
Remo Freuler,SUI,MF,Bologna,it Serie A,31.0,2624,29.2,1,1,2,1,1.2,1.2,1.1,37.0,165.0,0.03429878048780488,0.04115853658536585,-0.19999999999999996
Marco Friedl,AUT,DF,Werder Bremen,de Bundesliga,25.0,2197,24.4,1,0,1,1,0.2,0.2,0.1,4.0,59.0,0.040964952207555756,0.008192990441511151,0.8
