Player,Nation,Pos,Squad,Comp,Age,Min,90s,Gls,Ast,G+A,G-PK,xG,npxG,xAG,PrgC,PrgP,Gls_per90,xG_per90,Finishing_Diff
Simone Bastoni,ITA,"MF,DF",Empoli,it Serie A,26.0,745,8.3,1,0,1,1,0.4,0.4,0.5,12.0,31.0,0.12080536912751677,0.04832214765100672,0.6
Augusto Batalla,ARG,GK,Granada,es La Liga,27.0,1530,17.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Maximilian Bauer,GER,DF,Augsburg,de Bundesliga,23.0,810,9.0,1,0,1,1,1.4,1.4,0.0,2.0,25.0,0.1111111111111111,0.15555555555555556,-0.3999999999999999
Oliver Baumann,GER,GK,Hoffenheim,de Bundesliga,33.0,3060,34.0,0,1,1,0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0
Christoph Baumgartner,AUT,"MF,FW",RB Leipzig,de Bundesliga,23.0,1158,12.9,5,1,6,5,3.7,3.7,1.6,36.0,47.0,0.38860103626943004,0.28756476683937826,1.2999999999999998
Ihlas Bebou,TOG,"FW,DF",Hoffenheim,de Bundesliga,29.0,1636,18.2,7,5,12,7,4.9,4.9,2.6,42.0,38.0,0.3850855745721271,0.26955990220048903,2.0999999999999996
Adrian Beck,GER,"MF,FW",Heidenheim,de Bundesliga,26.0,974,10.8,1,1,2,1,1.7,1.7,0.8,17.0,29.0,0.09240246406570843,0.1570841889117043,-0.7
Sheraldo Becker,SUR,"FW,MF",Real Sociedad,es La Liga,28.0,771,8.6,2,2,4,2,1.4,1.4,1.8,28.0,13.0,0.23346303501945526,0.16342412451361865,0.6000000000000001
Sheraldo Becker,SUR,"FW,MF",Union Berlin,de Bundesliga,28.0,645,7.2,0,1,1,0,0.8,0.8,1.8,32.0,20.0,0.0,0.1116279069767442,-0.8
Kevin Behrens,GER,FW,Wolfsburg,de Bundesliga,32.0,616,6.8,1,1,2,1,1.6,1.6,0.9,7.0,17.0,0.14610389610389612,0.23376623376623376,-0.6000000000000001
Kevin Behrens,GER,FW,Union Berlin,de Bundesliga,32.0,1262,14.0,4,0,4,4,6.0,6.0,0.9,11.0,45.0,0.28526148969889065,0.42789223454833597,-2.0
Maximilian Beier,GER,"FW,MF",Hoffenheim,de Bundesliga,20.0,2420,26.9,16,1,17,16,11.4,11.4,2.4,61.0,30.0,0.5950413223140496,0.4239669421487603,4.6
